Part,Ward,Booth Address,Total,
1630183,116,,1297,
1630184,116,,1458,
1630185,116,,1509,
1630186,116,,1462,
1630187,116,,1462,
1630188,115,,474,
1630189,116,,1366,
1630190,116,,1373,
1630191,116,,1503,
1630192,116,,1205,
1630193,116,,664,
1630194,116,,1018,
1630195,115,,1099,
1640001,95,,1313,
1640002,95,,1318,
1640003,95,,836,
1640004,95,,864,
1640005,77,,805,
1640006,77,,1247,
1640007,77,,1126,
1640008,77,,923,
1640009,77,,788,
1640010,77,,881,
1640011,77,,840,
1640012,77,,727,
1640013,77,,1052,
1640014,77,,846,
1640015,77,,791,
1640016,77,,997,
1640017,77,,973,
1640018,77,,1207,
1640019,77,,801,
1640020,77,,1286,
1640021,77,,884,
1640022,77,,1048,
1640023,77,,787,
1640024,77,,801,
1640025,77,,1320,
1640026,77,,863,
1640027,77,,759,
1640028,77,,658,
1640029,77,,921,
1640030,77,,682,
1640031,77,,1378,
1640032,77,,919,
1640033,77,,690,
1640034,77,,1093,
1640035,77,,1037,
1640036,95,,1390,
1640037,77,,662,
1640038,77,,888,
1640039,77,,908,
1640040,94,,1095,
1640041,94,,699,
1640042,94,,946,
1640043,94,,1224,
1640044,94,,791,
1640045,94,,1048,
1640046,94,,1078,
1640047,94,,1267,
1640048,95,,918,
1640049,95,,616,
1640050,95,,1014,
1640051,95,,968,
1640052,95,,739,
1640053,95,,692,
1640054,95,,687,
1640055,95,,1075,
1640056,95,,1110,
1640057,96,,1285,
1640058,96,,1324,
1640059,96,,783,
1640060,96,,770,
1640061,96,,1234,
1640062,96,,1303,
1640063,96,,950,
1640064,96,,1152,
1640065,95,,1298,
1640066,95,,1241,
1640067,95,,1358,
1640068,95,,1283,
1640069,95,,1193,
1640070,95,,1046,
1640071,95,,1342,
1640072,95,,917,
1640073,95,,861,
1640074,95,,1134,
1640075,95,,1298,
1640076,95,,1318,
1640077,94,,856,
1640078,94,,860,
1640079,94,,944,
1640080,94,,695,
1640081,94,,1348,
1640082,94,,1371,
1640083,96,,1265,
1640084,96,,1184,
1640085,96,,537,
1640086,96,,804,
1640087,96,,796,
1640088,96,,771,
1640089,96,,1293,
1640090,96,,1179,
1640091,96,,768,
1640092,96,,626,
1640093,96,,592,
1640094,96,,1053,
1640095,96,,1035,
1640096,96,,1049,
1640097,96,,877,
1640098,96,,1325,
1640099,96,,1101,
1640100,96,,1106,
1640101,96,,631,
1640102,96,,1066,
1640103,96,,1208,
1640104,121,,712,
1640105,95,,967,
1640106,95,,930,
1640107,95,,514,
1640108,95,,734,
1640109,96,,1230,
1640110,96,,1096,
1640111,96,,629,
1640112,95,,732,
1640113,95,,809,
1640114,94,,876,
1640115,94,,1004,
1640116,94,,774,
1640117,94,,720,
1640118,94,,800,
1640119,121,,667,
1640120,121,,897,
1640121,121,,831,
1640122,96,,489,
1640123,96,,522,
1640124,96,,976,
1640125,96,,926,
1640126,121,,1079,
1640127,121,,783,
1640128,96,,993,
1640129,121,,682,
1640130,121,,899,
1640131,121,,746,
1640132,94,,1123,
1640133,94,,973,
1640134,94,,448,
1640135,94,,880,
1640136,94,,589,
1640137,94,,815,
1640138,94,,1105,
1640139,94,,771,
1640140,120,,1241,
1640141,121,,1311,
1640142,121,,993,
1640143,121,,646,
1640144,121,,1264,
1640145,121,,1398,
1640146,121,,1336,
1640147,121,,1271,
1640148,121,,1268,
1640149,121,,764,
1640150,121,,947,
1640151,121,,649,
1640152,121,,1299,
1640153,121,"155-S M  High School, Room No-1",1071,
1640154,121,"156-S M High School , Room No 2",1242,
1640155,121,"157-S.M.High School, Room No-3",1236,
1640156,121,158-Corporation Nursery & Primary School Room No 1,1312,
1640157,121,159-Corporation Nursery & Primary School  Room No-2,1284,
1640158,121,160-Corporation Nursery & Primary School  Room No-3,604,
1640159,121,161-Platonica High School Room No-1,448,
1640160,120,St Lords Inter National Public School,936,
1640161,120,St Lords Inter national Pubilc School,1309,
1640162,120,"Bharathi Sevasangha School,",808,
1640163,120,Bharathi Sevasangha School,889,
1640164,109,New Presidency Public School,894,
1640165,109,"Office Of The Asst, Revenue Officer, Chickpet Sub Division",509,
1640166,109,Poornaiah Choultry Govt Primary School,808,
1640167,109,"Poornaiah Kalyana Mantapa, Govt Primary School, Room No 2",996,
1640168,109,Sri Patasibai Luniya Kaniya Hindi Patashala Room No 1,1140,
1640169,109,"Sri Patasibai Luniya Kaniya Hindi Patashala, Room No 2",1076,
1640170,109,Sri Somavamsha Arya Kshathriya Sevasangha (Reg)Library,1210,
1640171,109,"C B Bhandari Jain Primary School & P U College, Room No-1",877,
1640172,109,"Ramanshree Udaya Education Society No.14, 24th cross Kilari road Bangalore 560053 Room No-1",1161,
1640173,109,"C B Bhandari Jain High School , No.150, Kilari road, Bangalore 560053 Room No 2",1032,
1640174,109,"Ramanashree Udaya Education Society (Reg),No-14, 24th cross Kilari Road Bangalore 560053 Room No-2",473,
1640175,109,"Ramanashree Udaya Education Society (Reg),No-14, 24th cross Kilari Road Bangalore 560053 Room No-3",1167,
1640176,109,"C.B. Bhandari Jain High School , No-150, Kilari Road Bagalore-560053 Room No-3",1280,
1640177,109,"C.B. Bhandari Jain High School and P.U. College, No-150, Kilari Road, Bangalore 560053 Room No-4",1062,
1640178,109,"Deputy Director, Department of Public Instructions Office  Room No. 1",836,
1640179,109,"Office of the Joint Director, Department of Public Instuction  (MMS) Room No. -2",663,
1640180,109,"Ofice of the Joint Director, Department of Public Instructions (MMS) Room No -3",1195,
1640181,109,Padmashree Krishnaiah Shetty Govt  Primary School Room No.1,1326,
1640182,109,Padmashree Krishnaiah Shetty Govt Primary School Room No 2,899,
1640183,109,Padmashree  Krishnaiah Shetty Govt Primary School Room No. 3,1015,
1640184,109,"Sri V S Jain Ayambil Bhavan No-162, Lakshman Rao Road Huriopet Bangalore 560053 Room No-1",1090,
1640185,109,"Sri V S Jain Ayambil Bhavan No-162, Lakshman Rao Road Huriopet Bangalore 560053 Room No.2",639,
1640186,109,"BBMP Girls Highschool,",970,
1640187,109,"BBMP Girls Highschool , Room No. 2,, K V Temple Street,",1028,
1640188,109,"BBMP Girls Highschool , Room No. 2,, K V Temple Street,",736,
1640189,109,BBMP Girls High School,1040,
1640190,109,"Kabadi Gidusa Sonubai Corporation  Nursery School,",1018,
1640191,109,"S. S. K. Sangha School, K V T Steet, Room No. 1",838,
1640192,120,"B B M P Nursery And  Primary School, New Building",1184,
1640193,109,"BBMP Nursery and Primary School, New Building, Room No.2",1256,
1640194,120,New Presidency School,998,
1640195,120,Asst.Revenue Office(Gandhinagar) Dr. T.C.M. Rayan Road  Gandhinagar B.B.M.P Bangalore Room No-1,1082,
1640196,120,Asst.Revenue Office(Gandhinagar) Dr. T.C.M. Rayan Road  Gandhinagar B.B.M.P Bangalore Room No-2,1233,
1640197,120,Bharathiya Sevasanga Shale,1061,
1640198,120,Asst.Revenue Office(Gandhinagar) Dr. T.C.M. Rayan Road  Gandhinagar B.B.M.P Bangalore Room No-3,1237,
1640199,120,Kempegowda Nursery & Primary School,741,
1640200,120,"Kashivishweshwara Temple, Samudaya Bhavana",767,
1640201,120,"Kashivishweshwara Temple, Samudaya Bhavana",680,
1640202,120,"BBMP P.U. College, Room No-1",636,
1640203,120,"BBMP P.U. College, Room No-2",909,
1640204,120,"BBMP P.U. College, Room No-3",912,
1640205,120,"BBMP P.U. College, Room No-4",999,
1640206,120,"Sunglory School, Room No-1",1214,
1640207,120,"Sun Glory School, Room No-2",822,
1640208,120,"Sun Glory School Celler,",1347,
1640209,120,Sunglory School Auditorium,905,
1640210,120,"PADMASHREE NATIONAL HIGH SCHOOL, ROOM NO-1",880,
1640211,120,"PADMASHREE NATIONAL HIGH SCHOOL, ROOM NO-2",1267,
1640212,120,"PADMASHREE NATIONAL HIGH SCHOOL, ROOM NO-3",1438,
1640213,120,"Kashivishweshwara Temple, Samudaya Bhavana",1571,
1640214,120,"Kashivishweshwara Temple, Samudaya Bhavana",1468,
1640215,120,"Kashivishweshwara Temple, Samudaya Bhavana",1218,
1640216,121,"218-Medical Officer Health Office (MOH), Room No.1",1308,
1640217,121,"219-Medical Officer Health Office (MOH), Room No-2",963,
1640218,121,"220-Binnypet School, Room No.1",878,
1640219,121,"221-Binnypet School, Room No-2",974,
1640220,121,"222-Binnypet School, Room No-3",1203,
1640221,121,"223-Binnypet School, Room No-4",1283,
1640222,121,"224-Binnypet School, Room No-5",1121,
1640223,120,Bangalore One Building,1174,
1640224,120,Bangalore One annexure Building,727,
1640225,120,"BBMP Ward Office, Room No.1",1026,
1640226,120,"BBMP Ward Office, ROOM NO-2",871,
1640227,109,"Sindhi  Primary Govt School, Room No-1",946,
1640228,109,"Sindhi  Primary Govt School, Room No-2",1035,
1640229,120,St. Catherine High School,466,
1640230,120,St. Catherine High School,926,
1640231,120,St.Catherine High School,757,
1650001,99,"Anganavadi Kendra 8th Cross, Indirangar Slum, West of Chord Road Room No. 1",865,
1650002,99,Anganavadi Kendra Indiranagar Slum  7th cross  West Chord Road Room No 1,982,
1650003,99,Gowtham College 40 ft Road  1st Stage  2nd Phase Manjunathanagar Room No 1,1012,
1650004,99,Gowtham College 40 feet Road  1st Stage  2nd Phase  Room No 2,1068,
1650005,98,Viveka Vardhini Educational Institution 14th Main Road  Prakashnagar  Room No 1,1133,
1650006,98,Engineering Ward Office  14th Main Road   Prakashnagar  Room No 1,1096,
1650007,98,Health Ward Office   14th Main Road   Prakashnagar   Room No 1,1142,
1650008,99,Royal English Primary School 1st Stage 1st Phase 40 ft Road Manjunathanagar Room No 1,854,
1650009,99,Royal English Primary School 1st Stage 1st Phase 40 ft Road Manjunathanagar Room No 2,660,
1650010,99,Royal English Primary School 1st Stage 1st Phase 40 ft Road Manjunathanagar Room No 3,1220,
1650011,99,Bright Horizon School  1 st Stage   2nd Phase  40 Feet road  Room No 1,1123,
1650012,99,Bright Horizon School  1st Stage  2nd Phase  40 ft Road  Manjunathanagar Room No 2,968,
1650013,99,Bright Horizon School 1st Stage  2nd Phase  40 ft Road  Manjunathanagar  Room No 3,1375,
1650014,99,Bright Horizon School 1st Stage  2nd Phase  40 ft Road  Manjunathanagar   Room No 4,1008,
1650015,99,Bright Horizon School 1st Stage  2nd Phase  40 ft Road  Manjunathanagar Room No 5,972,
1650016,99,"Indian High School No.74, Thimmaiah Road, 5th Main road 1st stage 3rd Phase  ManjunathaNagar  Room No. 1",1333,
1650017,99,B B M P  Building Govt Lower Primary School 16th Main Road  1st Block  3rd Stage Gayathri H B C S  Manjunathanagar  Room   1,920,
1650018,99,B B M P  Building  Govt Lower Primary School 16th Main Road  1st Block  3rd Stage Gayathri H B C S   Manjunathanagar  Room No  2,1226,
1650019,99,Shilpashree English Convent 40 ft Road 1st Stage  1st Phase West of chord Road Manjunathanagar Room No  1,1288,
1650020,99,Shilpashree English Convent School 40 ft Road 1st Stage 1st Phase West of chord Road Manjunathanagar Room No.2,869,
1650021,99,Shilpashree English Convent School 40 ft Road 1st Stage  1st Phase West of chord Road Manjunathanagar Room No  3,1013,
1650022,99,"Shilpashree English Convent No.204, 40 ft Road 1st Stage  1st Phase  Manjunathanagar  West of chord Road Room No 1",864,
1650023,99,"Shilpashree English Convent No.204, 40 ft Road  1st Phase   West of chord Road  Manjunathanagar Room No 2",1170,
1650024,99,Gowtham College  40 ft Road  1st Stage  2nd Phase  Manjunathanagar  Room No 3,822,
1650025,99,Gowtham College  40 ft Road  1st Stage  2nd Phase  Manjunathanagar  Room No 4,795,
1650026,99,Karnataka Lingayutha Education Association (K.L.E.) 12th Main Road 2nd Block Rajajinagar Room No  1,689,
1650027,98,"Jyothi pana Sanga Public School 5th Main Road, Mariyapanpalya  Room No.1",628,
1650028,98,Jyothi Panasangha (Public School)  5th Main Road   Mariyappana Palya Room No.2,1209,
1650029,98,Vivekavardhini Educational Institution 14th Mainroad  Prakashnagar  Room No 2,1050,
1650030,98,Vivekavardhini Education Society  14th Main Prakashnagar Room No 3,815,
1650031,98,Vivekavardhini Educational Institution 14th Main Prakashnagar  Room No 4,1133,
1650032,98,Vivekavardhini Educational Institution 14th Main Road  Prakashnagar  Room No 5,1351,
1650033,99,Basaveshwara Girls High School 17th Main  2nd Block Rajajinagar  Room No 1,921,
1650034,99,Basaveshwara Girls High School 17th Main  2nd Block Rajajinagar  Room No  2,1321,
1650035,100,P V S Convent 12th Main  1st Block  3rd Stage  Manjunath Nagar  Room No 1,1356,
1650036,100,P v S Convent 12th Main  1st Block 3rd Stage  Manjunath Nagar Room No 2,1124,
1650037,100,Govt Block Model Primary School  3rd Block  3rd Stage  Saneguruvana Halli Room No 1,649,
1650038,100,Govt Block Model Primary School 3rd Block  3rd Stage  Saneguruvana Halli  Room No 2,1133,
1650039,100,Rasana English School 11th Main Road 1st Block  3rd Stage Manjunathanagar  Room No.1,1248,
1650040,100,Rasana English School  11th Mainroad 1st Block  3rd Stage  Manjunathanagar  Room No.2,1380,
1650041,98,"Modaliar Seva Sanga (M.S.S.School) No-8/3, 6th Cross, Prakashnagar Room No.1",955,
1650042,98,"Modaliar Seva Sanga (M.S.S.School) No-8/3, 6th Cross, Prakashnagar Room No.2",1215,
1650043,98,Southern Convent School 4th Cross Road  Prakashnagar  Room No 1,741,
1650044,98,à²¸à²¦à²°à²¨à³,930,
1650045,98,Southern Convent School 4th Cross Road   Prakashnagar  Room No 3,1405,
1650046,98,"Modaliar Seva Sanga (M.S.S.School) No-8/3, 6th Cross, Prakashnagar Room No.3",1336,
1650047,98,"Modaliar Seva Sanga (M.S.S.School) No-8/3, 6th Cross, Prakashnagar Room No.4",1324,
1650048,100,Rasana English School 1st Block  3rd Stage  11th Main Road  Manjunathanagar  Room No.3,1366,
1650049,100,Rasana English School  11th Mainroad 1st Block  3rd Stage  Manjunathanagar  Room No.4,807,
1650050,100,Cadambi Vidhya Kendhra 10th Main 1st Block  3rd Stage  Basaveshwara Nagara   Room no  1,1048,
1650051,100,Cadambi  Vidhya Kendhra 10th Main  1st Block  3rd Stage  Basaveshwara Nagar Room No 2,1248,
1650052,107,"Sri Siddaganga School, Room No 1",1304,
1650053,107,"Sri Siddaganga School, Room No.2",1372,
1650054,107,"Sri Siddaganga School, Room No.3",1381,
1650055,107,"Sri Siddaganga School, Room No.4",1179,
1650056,107,"Sri Siddaganga School, Room No.5",945,
1650057,107,"Sri Siddaganga School, Room No.6",901,
1650058,107,"Sri Siddaganga School, Room No.7",1407,
1650059,99,Govt  Composite High School  P and T Road 2nd Block Rajajinagar Room No   1,1100,
1650060,98,Govt Composite High School 7th Cross Road  Prakashnagar  Room No 1,889,
1650061,98,Govt  Composite High School 7th Cross Road  Prakashnagar  Room No 2,1295,
1650062,98,Govt  Composite High School 7th Cross Road  Prakashnagar Room No 3,1136,
1650063,98,Jyothi higher primary Kannada & Tamil School 5th Main Road  Prakashnagar   Room No 1,1066,
1650064,98,"Southern convent School, 3rd Main, Prakash nagar  Room No. 1",876,
1650065,97,Govt Boys Higher Primary School  7th Main Road Rama Murthy Road   Srirampura   Room No  1,933,
1650066,97,Govt Boys Higher Primary School  7th Main Road Rama Murthy Road   Srirampura    Room No 2,951,
1650067,97,Govt Boys Higher Primary School  7th Main Road Rama Murthy Road   Srirampura  Room No 3,1019,
1650068,97,Govt Boys Higher Primary School  7th Main Road Rama Murthy Road   Srirampura   Room No 4,1101,
1650069,97,Govt Boys  Higher Primary School  7th Main Road Rama Murthy Road   Srirampura  Room No 5,1422,
1650070,97,Govt  Tamil School 5th Main Road  Ramakrishna Seva Nagar  Srirampur  Room No 1,810,
1650071,97,Gandhi Vidya School 6th Cross Labour Colony Bhashyam Nagar  Room No 1,465,
1650072,97,Gandhi Vidya School 6th Cross  Labour Colony  Bhashyam Nagar  Room No 2,1079,
1650073,97,Govt Boys Higher Primary School  7th Main Road Rama Murthy Road   Srirampura Room No.6,816,
1650074,97,Govt  Boys Higher Primary School  7th Main Road Rama Murthy Road   Srirampura Room No.7,675,
1650075,97,"BBMP  Shishuvihara  BBMP New Building (Central Liabary)10th Cross, 6th Main, RGI Colony   Room No-1",1262,
1650076,97,Govt  Kannada Girls Primary School 9th Main  Srirampura   Room No-1,793,
1650077,97,Govt  Kannada Girls Primary School 9th Main  Srirampura Room No-2,817,
1650078,97,"BBMP Shishuvihara New Building(Central liabary) 10th Cross, 6th Main Road, RGI Colony   Room No-2",1372,
1650079,98,Kenlin English School 3rd Main Road   Prakashnagar  Room No 1,962,
1650080,98,Kenlin English School 3rd Main Road   Prakashnagar  Room No 2,783,
1650081,98,Southern Convent School 3rd Main Road  Prakashnagar  Room No  2,1316,
1650082,99,Govt. Composite High School  2nd Block  2nd Main Road  Juganahalli  Rajajinagar  Room No 1,1229,
1650083,99,Govt.Composite High School 2nd Main Road Juganahalli 2nd Block Rajajinagar  Room No 2,1400,
1650084,99,Govt. Composite High School 2nd Main Road Juganahalli 2nd Block Rajajinagar Room No 3,339,
1650085,99,Govt. Composite High School 2nd Main Road  Juganahalli  2nd Block Rajajinagar Room No-4,832,
1650086,107,Shambhavi School Room No.1,1360,
1650087,107,"Shambhavi School, Room No.2",1354,
1650088,107,Smt Gangamma Thimmaiah Govt Primary & High School  2nd Mainraod  Shivanagar Room No 1,1216,
1650089,107,Smt Gangamma Thimmaiah Govt Primary & High School  2nd Mainraod  Shivanagar  Room No 2,1403,
1650090,107,Smt Gangamma Thimmaiah Govt Primary & High School  2nd Mainraod  Shivanagar Room No 3,1078,
1650091,107,Smt Gangamma Thimmaiah Govt Primary & High School  2nd Mainraod  Shivanagar Room No 4,1229,
1650092,107,Smt Gangamma Thimmaiah Govt Primary & High School  2nd Mainraod  Shivanagar Room No 5,1110,
1650093,107,Smt Gangamma Thimmaiah Govt Primary & High School  2nd Mainraod  Shivanagar  Room No 6,1191,
1650094,107,A I P Reddy Leva English School Room No.1,1050,
1650095,107,"A I P Reddy Leva English School, Room No.2",935,
1650096,107,A I P Reddy Leva English School Room No.3,1292,
1650097,101,St.Miras High School  No. 44 8th Main Road Sharada Colony Basaveshwaranagar   Room No. 1,940,
1650098,101,St. Miras High School  No. 44 8th Main Road Sharada Colony Basaveshwaranagar   Room No. 2,1065,
1650099,101,St.  Miras  High School  No. 44  8th Main Road  Sharadha Colony Basaveshwaranagar  Room No. 3,664,
1650100,101,St  Miras  High School  No. 44  8th Main Road  sharadha colony Basaveshwara nagar Room  No. 4,879,
1650101,101,BBMP Ward Office Ward No 18(new no 101) Sharadha Colony Basaveshwaranagara  Room No  1,1441,
1650102,101,V L S Vidhya Sagar School   Sharadha Colony  Basaveshwaranagar  Room No  1,1462,
1650103,101,V L S Vidhya Sagar School Sharadha Colony Basaveshwaranagar Room No   2,1227,
1650104,101,V L S Vidhya Sagar School Sharadha Colony Basaveshwaranagar Room No  3,1212,
1650105,101,V L S Vidhya Sagar School Sharadha Colony Basaveshwaranagar  Room No  4,1299,
1650106,100,B B M P  Engineering Ward Office Ward No 100  7th Main  3rd Block  3rd Stage  Basaveshwara Nagar,1228,
1650107,100,Florence English School No 346  3rd Block  3rd Stage  Basaveshwaranagar  Room No 1,1006,
1650108,100,Florence English School No 346  3rd Block  3rd Stage  Basaveshwaranagar  Room No 2,549,
1650109,100,Vani Vidhya Kendra 3rd Block  3rd Stage  Basaveshwara Nagar  Room No 1,1091,
1650110,100,Vani Vidhya Kendra  3rd Block  3rd Stage  Basaveshwara Nagar  Room No 2,791,
1650111,100,Govt Block Model Primary School  3rd Block  3rd Stage  Saneguruvanahalli Room No  3,1154,
1650112,100,Govt Block Model Primary School  3rd Block  3rd Stage  Saneguruvanahalli Room No 4,848,
1650113,100,Cadambi Vidhya Kendra 1st Block  3rd Stage  10th Mian road   Basaveshwaranagar Room No 3,824,
1650114,100,Cadambi Vidhya Kendra  1st Block  3rd Stage 10th Main Road  Basaveshwaranagar  Room No  4,1175,
1650115,100,Cadambi Vidhya Kendra 1st Block  3rd Stage  10th Main Road   Basaveshwaranagar Room No 5,1268,
1650116,100,Carmel High School  2nd Block  3rd Stage  Basaveshwaranagar  Room No 1,1314,
1650117,100,Carmel High School 2nd Block  3rd Stage  Basaveshwaranagar   Room No 2,1363,
1650118,100,Carmel High School  2nd Block  3rd Stage  Basaveshwaranagar  Room No 3,1334,
1650119,100,Carmel Primary 2nd Block 3rd Stage Basaveshwaranagar Room No 4,1322,
1650120,99,Govt College 41st Cross  2nd Block  Rajajinagar  Room No 1,1115,
1650121,97,Govt  Kannada Girls Primary School 9th Main  Srirampura Room No-3,1069,
1650122,97,Govt  Kannada Girls Primary School 9th Main  Srirampura Room No-4,1181,
1650123,97,Govt  Kannada Girls Primary School 9th Main  Srirampura Room No-5,1072,
1650124,97,Govt  Kannada Girls Primary School 9th Main  Srirampura Room No-6,1316,
1650125,97,Gandhi Vidya School 6th Cross Labour Colony Bhashyam Nagar  Room No 3,1324,
1650126,97,Gandhi Vidya School 6th Cross  Labour Colony  Bhashyam Nagar  Room No 4,890,
1650127,97,Gandhi Vidya School 6th Cross  Labour Colony  Bhashyam Nagar  Room No 5,707,
1650128,97,"R.G.Iyer Education SocietyÂ® 9TH MAIN ROAD, SRIRAMPURA, Room No.1",1256,
1650129,97,"R.G.Iyer Education SocietyÂ® 9TH MAIN ROAD, SRIRAMPURA, RoomNo.2",1135,
1650130,97,"R.G.Iyer Education Society 9TH MAIN ROAD, SRIRAMPURA, Room No.3",1254,
1650131,97,"R.G.Iyer Education Society 9TH MAIN ROAD, SRIRAMPURA, Room No.4",1114,
1650132,97,Bangalore Mahanagara Palike  Girls High School 1st A Main road  Dayananda Nagar  Room No 1,617,
1650133,97,Bangalore Mahanagara Palike  Girls High School 1st A Main road  Dayananda Nagar  Room No 2,1071,
1650134,97,Bangalore Mahanagara Palike  Girls High School 1st A Main Road  Dayananda Nagar Room No 3,992,
1650135,97,Bangalore Mahanagara Palike  Girls High School 1st A Main Road  Dayananda Nagar  Room No 4,965,
1650136,97,Corporation Nursery School 7t Cross  Dayananda Nagar  Room No 1,631,
1650137,98,Chandra English School 9th Main Raod  Prakashanagar   Room No 1,1159,
1650138,98,Chandra English School 9th Main Road  Prakashanagar   Room No 2,1350,
1650139,108,Vanitha Seva Mandira,1313,
1650140,108,140-Vanitha Seva Mandira,952,
1650141,108,141 - Vanitha Seva Mandira,924,
1650142,107,"A I P Reddy Leva English School, Room No.4",1156,
1650143,100,Vani Vidhya Kendra 3rd Block  3rd Stage  Basaveshwara Nagar  Room No 3,1267,
1650144,100,Vani Vidya Kendra 3rd Block  3rd Stage  Basaveshwara Nagar  Room No 4,1195,
1650145,101,Gems High School No 141,1174,
1650146,101,Gems High School No 141,870,
1650147,107,Indian School  Room No.1,1063,
1650148,107,"Indian School, Room No 2",1070,
1650149,107,"A I P Reddy Leva English School, Room No.5",1311,
1650150,107,Corporation Veternary Hospital  15th Mainroad 3rd Block  Rajajinagar   Room No 1,1517,
1650151,107,Corporation Veternary Hospital  15th Mainroad 3rd Block  Rajajinagar    Room No 2,1297,
1650152,107,Corporation Veternary Hospital  15th Mainroad 3rd Block  Rajajinagar   Room No 3,1361,
1650153,108,"Vanitha Seva Mandira No,682",1378,
1650154,108,Tagore Memorial Nursery And Primary English School No 963/162  2Nd Mainroad  4Th Block Rajajinagara,1060,
1650155,98,Manohara Vidyalaya (John's Public School) 59Th B Cross  4Th N Block Prakashanagar  Rajajinagara  Room No   1,624,
1650156,108,M E I Polytechnic Building  No 128  59Th Cross  4Th Block  Rajajinagara   Room No 1,874,
1650157,108,M E I Polytechnic Building  No 128  59Th Cross  4Th Block  Rajajinagara   Room No 2,1005,
1650158,108,M E I Polytechnic Building  No 128  59Th Cross  4Th Block  Rajajinagar  Room No 3,1184,
1650159,108,M E I Politechnic Building  No 128  59Th Cross  4Th Block  Rajajinagar Room No   4,960,
1650160,108,Karnataka Thigalara Public Education Society  No 13  10Th B Main road  4Th E Block   Rajajinagar   4th E Block  Room No 1,837,
1650161,108,B B M P Ward Office   ward no 108  59th Cross 5th Block  Rajajinagara,1175,
1650162,108,Karnataka Thigalara Public Education Society  No 13  10Th B Main road  4Th E Block   Rajajinagar   4th E Block  Room No 2,649,
1650163,108,Karnataka Thigalara Public Education Society,838,
1650164,108,Karnataka Thigalara Public Education Society  No 13  10Th B Main road  4Th E Block  Rajajinagara Room No 4,844,
1650165,108,Karnataka Thigalara Public Education Society,955,
1650166,101,Ellen Public School  No 04 6Th Main road Kamakshipalya  Room No 1,1284,
1650167,101,Ellen Public School No 04 6Th Main road Kamakshipalya Room No 2,1289,
1650168,101,Ellen Public School NO 04 6Th Main road Kamakshipalya  Room No 3,1363,
1650169,101,Govt Higher Model Primary School   Kamakshipalya Mainroad  Kamakshipalya  Room No 1,1309,
1650170,101,Govt Higher Model Primary School Kamakshipalya Mainroad Kamakshipalya  Room No 2,1203,
1650171,101,Govt Higher Model Primary School Kamakshipalya Main road Kamakshipalya Room No   3,798,
1650172,101,Govt Higher Model Primary School Kamakshipalya Main road  Kamakshipalya Room No 4,832,
1650173,101,Siddhartha Gowthama High School 2Nd Main road Kamakshipalya Room No 1,1387,
1650174,101,Siddhartha Gowthama High School 2nd Main road Kamakshipalya Room No 2,1360,
1650175,101,Siddhartha Gowthama High School 2nd Main road Kamakshipalya Room No 3,978,
1650176,101,Siddhartha Gowthama High School 2nd Main road Kamakshipalya Room No 4,1243,
1650177,107,New Oxford High School  CA-49 59th cross 5Th Block  Rajajinagar Room No-1,435,
1650178,107,New Oxford High School  CA-49 59th cross 5Th Block  Rajajinagar Room No - 2,606,
1650179,107,New Oxford High School  CA-49 59th cross 5Th Block  Rajajinagar Room No - 3,784,
1650180,98,Gnana Jyothi Vidya Mandira 59Th A Cross  4Th N Block  Prakashnagar (Rajajinagara)  Room No  1,920,
1650181,108,Sri Jagdhguru Renukacharya Vidhya Sangha (S J R) Primary And High School S S I Area  Dr  Rajkumar Road  6Th Block  Rajajinagara  Room No   1,946,
1650182,108,Sri Jagdhguru Renukacharya Vidhya Sangha (S J R) Primary And High School S S I Area  Dr  Rajkumar Road  6Th Block  Rajajinagara  Room No   2,1339,
1650183,108,Sri Jagadhguru Renukacharya Vidhya Sangha (S J R) Primary And High School S S I Area  Dr  Rajkumar Road  6Th Block Rajajinagara Room No  3,1121,
1650184,108,Sri Jagadhguru Renukacharya Vidhya Sangha (S J R) Primary And High School No  4,939,
1650185,108,East West Academy,808,
1650186,108,Rajajinagara Parents Association High School,1230,
1650187,108,Rajajinagara Parents Association High School,862,
1650188,108,Rajajinagar Parents Association High School,836,
1650189,108,EAST WEST ACADEMY,572,
1650190,108,EAST WEST ACADEMY,537,
1650191,108,NAMUURA GOVERNMENT HIGHER PRIMARY SCHOOL,860,
1650192,101,Max Muller High School No 20 1St Main road K H B Colony 1St Stage Basaveshwaranagar Room No 1,823,
1650193,101,Max Muller High School No 20 1St Main road K H B Colony 1St Stage Basaveshwaranagar Room No 2,1267,
1650194,108,ST.ANNS HIGH SCHOOL,1033,
1650195,108,ST.ANNS HIGH SCHOOL,1339,
1650196,108,ST.ANNS HIGH SCHOOL,673,
1650197,100,Govt Block Model Primary School 3rd Block  3rd Stage  Saneguruvanahalli  Basaveshwaranagar Room No 5,841,
1660001,103,"Spark Public School, Room No-1, 2nd Cross Road, Muneshwaranagara, Bangalore-560079",1141,
1660002,103,"Spark Public School, Room No-2, 2nd Cross Road, Muneshwaranagara, Bangalore-560079.",1136,
1660003,103,"Spark Public School, Room No-3, 2nd Cross Road, Muneshwaranagara, Bangalore-560079.",988,
1660004,103,"Spark Public School, Room No-4, 2nd Cross Road, Muneshwaranagara, Bangalore-560079.",1149,
1660005,103,"Govt. Kannada Lower Primary School, Room No-1, 4th Main Road, Kaveripura, Bangalore-560079.",1079,
