Part,Ward,Booth Address,Total,
1500126,2,"Govt Urdu Higher Primary School, Room.No.4, Yelahanka",750,
1500127,2,"Good Will English High School, Tank Bund Road, Room No-1, Yelahanka",993,
1500128,1,Old BBMP Office Yelahanka old Town Room No-1,1375,
1500129,2,"Vijaya Jyothi English School, Room.No.1, Yelahanka",1165,
1500130,2,"Vijaya Jyothi English School, Room.No.2,, Yelahanka",1420,
1500131,2,"Vijaya Jyothi English School, Room.No.3, Yelahanka",1078,
1500132,2,"Gnana Bharathi Public  School, Room.No.3, Kamakshamma Layout",1380,
1500133,2,"Gnana Bharathi Public School, Room.No.4, kamakshamma Layout",1068,
1500134,2,"Gnana Bharathi Public School, Room.No.5, Kamakshamma Layout",854,
1500135,2,"Sri Choudeshwari Govt.Telugu Higher School, Room No-1, Kamakshamma Layout",804,
1500136,2,"Sri Choudeshwari Govt.Telugu Higher School, Room No-2, Kamakshamma Layout",903,
1500137,2,Vijaya Jyothi English School Yelahanka Room No-4,1403,
1500138,2,"New Bruhath Bengalore Mahanagara Palike Office, Yelahanka",1229,
1500139,2,"BBMP Help Center, Puttenahalli, Yelahanka",1332,
1500140,2,"Govt. Lower Primary School, Room No.01, Puttenahalli, Yelahanka",819,
1500141,2,"Govt. Lower Primary School, Room No.02, Puttenahalli, Yelahanka",1225,
1500142,3,"Govt. Lower Primary School, Room No.03, Puttenahalli, Yelahanka",1003,
1500143,3,"Govt. Lower Primary School, Room No.04, Puttenahalli, Yelahanka",860,
1500144,3,Nammura Govt Higher Primary Shool 4th Phase Yelahanka New Town Room No-7,1039,
1500145,3,Kendriya Vidyalaya School opp of Wheel & Axel Yelahanka new town Room No-1,1331,
1500146,3,"Kendriya Vidyalaya School, opp of Wheel & Axle Factory, Yelahanka new town Room No.-2",1123,
1500147,2,Govt Lower Primary School Puttenahalli Room No-5,502,
1500148,3,"Nammura Govt Higher Primary School, Room No.1, 4th Phase Yelahanka New town",643,
1500149,3,"Nammura Govt Higher Primary School,Room No.2, 4th Phase Yelahanka New town",1023,
1500150,3,"Nammura Govt Higher Primary School,Room No.3, 4th Phase Yelahanka New town",778,
1500151,3,"Nammura Govt Higher Primary School,Room No.4, 4th Phase, Yelahanka New Town",1186,
1500152,3,"Nammura Govt Higher Primary School,Room No.5, 4th Phase, Yelahanka New Town",1137,
1500153,3,"Nammura Govt Kannada Higher Primary School Ground Rotary suresh Rav Trining center Room No.6, 4th Phase Yelahanka New  Town",1334,
1500154,3,"G K Naidu School,Room No.1, 5th Stage, Yelahanka New Town",1397,
1500155,3,"G K Naidu School,Room No.2, 5th Stage Yelahanka New town",839,
1500156,3,"G K Naidu School,Room No.03, 5th Stage Yelahanka New town",693,
1500157,3,"G K Naidu School,Room No.3, 5th Stage Yelahanka New town",1217,
1500158,3,"G K Naidu School, Room No.05, 5th Stage Yelahanka New town",1000,
1500159,3,"Shrusthi School of Art, Desien and Technology 5th Phase Yelahanka new town Room No-1",1183,
1500160,2,"shrusthi School of Art, Desien and Technology 5th Phase Yelahanka new town Room No-2",1056,
1500161,2,"Shrusthi School of Art, Desien and Technology 5th Phase Yelahanka new town Room No-3",783,
1500162,3,"Nammura Govt Lower Primary School, Room No.1, Attur Layout",1236,
1500163,3,"Nammura Govt Lower Primary School, Room No.02, Attur Layout",1068,
1500164,3,"Nammura Govt.Lower Primary School, Room No.3, Attur Layout",1342,
1500165,3,"Nammura Govt.Lower Primary School, Room No.4, Attur Layout",1341,
1500166,3,"Nammura Govt. Lower School, Room No.5, Attur Layout",1437,
1500167,3,Swamy Vivekananda Inter National Public School Atturu Layout Room No-1,951,
1500168,3,Swamy Vivekananda Inter National Public School Atturu Layout  Room-2,938,
1500169,3,Swamy Vivekananda Inter National Public School Atturu Layout Room No-3,1392,
1500170,3,Swamy Vivekananda Inter National Public School Atturu Layout  Room-4,861,
1500171,3,Swamy Vivekananda Inter National Public School Atturu Layout Room No-5,846,
1500172,1,"Nmmmuru Govt.Higher Primary school, Room No.1  O.M.S Road Yelahanka",1151,
1500173,1,"Nmmmuru Govt.Higher Primary school, Room No.2  O.M.S Road Yelahanka",990,
1500174,1,"Nammura Govt. Higher Primary School,Room No-3, O.M.S Road, Yelahanka",1048,
1500175,1,"Nammura Govt. Higher Primary School,Room No-4, O.M.S Road, Yelahanka",906,
1500176,4,"Poorna Prajna Primary School, Room No.1, B'Sector Yelahanka Newtown",1249,
1500177,4,"Poorna Prajna Primary School, Room No.2, B'Sector Yelahanka New town",1088,
1500178,4,"Poorna Prajna Primary School, Room No.3, B'Sector Yelahanka Newtown",1094,
1500179,4,"Poorna Prajna Primary School, Room No.4, B'Sector Yelahanka Newtown",1511,
1500180,4,"Poorna Prajna Primary School, Room No.5, B'Sector Yelahanka Newtown",1199,
1500181,4,Poorna Prajna Primary School Room No-4 Near RTO Complex B Sector Yelahanka new town,952,
1500182,4,Poorna Prajna Primary School Room No-5 Near RTO Complex B Sector Yelahanka new town,561,
1500183,4,"Poorna Prajna High School,Room.1, ""A"" Sector, Yelahanka New Town",1022,
1500184,4,"Poorna Prajna High School,Room.2, ""A"" Sector, Yelahanka New Town",948,
1500185,4,"Gnana Jyothi Primary School,Room No.1, Yelahanka New town",1366,
